Region,Dish,Main_Ingredient,Diet,Flavor,Occasion
North,Naan,Wheat Flour,Non-Veg,Mild,Special
Central,Dal Bafla,Lentils & Wheat,Veg,Mild,Daily
East,Ghugni,Peas,Non-Veg,Spicy,Special
North,Butter Chicken,Chicken,Non-Veg,Spicy,Daily
Northeast,Rice Beer,Fermented Rice,Non-Veg,Tangy,Special
East,Momo,Flour & Veg/Meat,Non-Veg,Tangy,Festive
West,Pav Bhaji,Mixed Vegetables,Non-Veg,Sweet,Daily
Central,Baigan Bharta,Brinjal,Non-Veg,Sweet,Daily
East,Rasgulla,Chhena,Non-Veg,Mild,Festive
Central,Bhutte Ka Kees,Grated Corn,Non-Veg,Tangy,Street Food
North,Naan,Wheat Flour,Non-Veg,Tangy,Festive
East,Chhena Poda,Chhena,Non-Veg,Sweet,Special
North,Rajma,Kidney Beans,Non-Veg,Tangy,Special
Central,Baigan Bharta,Brinjal,Non-Veg,Mild,Festive
Central,Sabudana Khichdi,Sago,Non-Veg,Tangy,Festive
Northeast,Jadoh,Rice & Meat,Non-Veg,Spicy,Daily
Northeast,Smoked Pork,Pork,Non-Veg,Tangy,Festive
West,Bajra Roti,Pearl Millet,Veg,Spicy,Special
North,Paneer Tikka,Paneer,Veg,Tangy,Daily
North,Chole,Chickpeas,Veg,Sweet,Daily
South,Vada,Lentils,Veg,Tangy,Daily
South,Idli,Rice & Urad Dal,Veg,Sweet,Street Food
South,Idli,Rice & Urad Dal,Veg,Mild,Festive
North,Rajma,Kidney Beans,Non-Veg,Sweet,Daily
Northeast,Bamboo Shoot Curry,Bamboo Shoot,Non-Veg,Sweet,Daily
East,Pakhala,Fermented Rice,Non-Veg,Spicy,Special
Northeast,Rice Beer,Fermented Rice,Non-Veg,Mild,Street Food
North,Butter Chicken,Chicken,Non-Veg,Spicy,Special
North,Butter Chicken,Chicken,Non-Veg,Sweet,Street Food
West,Thepla,Wheat & Fenugreek,Non-Veg,Mild,Special
Central,Sabudana Khichdi,Sago,Non-Veg,Spicy,Daily
Central,Baigan Bharta,Brinjal,Non-Veg,Mild,Daily
South,Dosa,Rice & Urad Dal,Veg,Tangy,Daily
Central,Sabudana Khichdi,Sago,Non-Veg,Tangy,Festive
North,Naan,Wheat Flour,Non-Veg,Tangy,Special
West,Bajra Roti,Pearl Millet,Veg,Sweet,Special
Central,Baigan Bharta,Brinjal,Non-Veg,Tangy,Special
Central,Sabudana Khichdi,Sago,Non-Veg,Sweet,Special
West,Bajra Roti,Pearl Millet,Veg,Mild,Special
South,Vada,Lentils,Veg,Spicy,Special
