City,State,Region,Primary_Language,Script
City_1,Gujarat,West,Gujarati,Gujarati
City_2,Manipur,Northeast,Meitei,Meitei Mayek
City_3,Madhya Pradesh,Central,Hindi,Devanagari
City_4,Telangana,South,Telugu,Telugu
City_5,Punjab,North,Punjabi,Gurmukhi
City_6,Nagaland,Northeast,English,Latin
City_7,Gujarat,West,Gujarati,Gujarati
City_8,Chhattisgarh,Central,Hindi,Devanagari
City_9,Tripura,Northeast,Bengali,Bengali
City_10,Sikkim,Northeast,Nepali,Devanagari
City_11,Telangana,South,Telugu,Telugu
City_12,Telangana,South,Telugu,Telugu
City_13,Meghalaya,Northeast,Khasi,Latin
City_14,Nagaland,Northeast,English,Latin
City_15,Karnataka,South,Kannada,Kannada
City_16,Punjab,North,Punjabi,Gurmukhi
City_17,Meghalaya,Northeast,Khasi,Latin
City_18,West Bengal,East,Bengali,Bengali
City_19,Mizoram,Northeast,Mizo,Latin
City_20,Nagaland,Northeast,English,Latin
City_21,Maharashtra,West,Marathi,Devanagari
City_22,Meghalaya,Northeast,Khasi,Latin
City_23,Andhra Pradesh,South,Telugu,Telugu
City_24,Kerala,South,Malayalam,Malayalam
City_25,Maharashtra,West,Marathi,Devanagari
City_26,Nagaland,Northeast,English,Latin
City_27,Tamil Nadu,South,Tamil,Tamil
City_28,Andhra Pradesh,South,Telugu,Telugu
City_29,Chhattisgarh,Central,Hindi,Devanagari
City_30,Mizoram,Northeast,Mizo,Latin
City_31,Andhra Pradesh,South,Telugu,Telugu
City_32,Goa,West,Konkani,Devanagari
City_33,Himachal Pradesh,North,Hindi,Devanagari
City_34,Assam,Northeast,Assamese,Bengali
City_35,Jharkhand,East,Hindi,Devanagari
City_36,Madhya Pradesh,Central,Hindi,Devanagari
City_37,Madhya Pradesh,Central,Hindi,Devanagari
City_38,Tripura,Northeast,Bengali,Bengali
City_39,Andhra Pradesh,South,Telugu,Telugu
City_40,Sikkim,Northeast,Nepali,Devanagari
City_41,Manipur,Northeast,Meitei,Meitei Mayek
City_42,Goa,West,Konkani,Devanagari
City_43,West Bengal,East,Bengali,Bengali
City_44,Uttar Pradesh,North,Hindi,Devanagari
City_45,Tripura,Northeast,Bengali,Bengali
City_46,Gujarat,West,Gujarati,Gujarati
City_47,Nagaland,Northeast,English,Latin
City_48,Odisha,East,Odia,Odia
City_49,Gujarat,West,Gujarati,Gujarati
City_50,Uttarakhand,North,Hindi,Devanagari
City_51,Karnataka,South,Kannada,Kannada
City_52,Goa,West,Konkani,Devanagari
City_53,Rajasthan,North,Hindi,Devanagari
City_54,Uttarakhand,North,Hindi,Devanagari
City_55,Chhattisgarh,Central,Hindi,Devanagari
City_56,Odisha,East,Odia,Odia
City_57,Chhattisgarh,Central,Hindi,Devanagari
City_58,Nagaland,Northeast,English,Latin
City_59,Maharashtra,West,Marathi,Devanagari
City_60,Manipur,Northeast,Meitei,Meitei Mayek
City_61,Madhya Pradesh,Central,Hindi,Devanagari
City_62,Gujarat,West,Gujarati,Gujarati
City_63,Andhra Pradesh,South,Telugu,Telugu
City_64,Punjab,North,Punjabi,Gurmukhi
City_65,Madhya Pradesh,Central,Hindi,Devanagari
City_66,West Bengal,East,Bengali,Bengali
City_67,Rajasthan,North,Hindi,Devanagari
City_68,Himachal Pradesh,North,Hindi,Devanagari
City_69,Karnataka,South,Kannada,Kannada
City_70,Uttarakhand,North,Hindi,Devanagari
City_71,Punjab,North,Punjabi,Gurmukhi
City_72,Karnataka,South,Kannada,Kannada
City_73,Maharashtra,West,Marathi,Devanagari
City_74,Kerala,South,Malayalam,Malayalam
City_75,Mizoram,Northeast,Mizo,Latin
City_76,Assam,Northeast,Assamese,Bengali
City_77,Karnataka,South,Kannada,Kannada
City_78,Mizoram,Northeast,Mizo,Latin
City_79,Uttarakhand,North,Hindi,Devanagari
